	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00310832	3	1	1	1	1	1	0	48	0	0	36.6069	 	0	0
UL	0.00360832	3	6	1	1	1	1	0	48	0	0	35.4306 	0	0
DL	0.00400832	4	0	1	1	1	1	0	1776	28	0	36.6793	 	0	0
UL	0.00459568	4	5	1	22	1	1	0	39187	28	0	35.5276 	0	2.30926e-14
UL	0.00469568	4	6	1	22	1	1	0	39187	28	0	35.4893 	0	0
UL	0.00479568	4	7	1	22	1	1	0	39187	28	0	35.5775 	0	1.15463e-14
UL	0.00489568	4	8	1	22	1	1	0	39187	28	0	35.7746 	0	0
DL	0.00494992	4	9	1	11	1	1	0	19592	28	0	35.4503	 	0	0
UL	0.00499568	4	9	12	11	1	1	0	19592	28	0	36.1554 	0	0
DL	0.00504992	5	0	1	11	1	1	0	19592	28	0	35.7274	 	0	3.4639e-14
UL	0.00509568	5	0	12	11	1	1	0	19592	28	0	36.3995 	0	0
DL	0.00514992	5	1	1	11	1	1	0	19592	28	0	36.041	 	0	8.17479e-12
UL	0.00519568	5	1	12	11	1	1	0	19592	28	0	36.5748 	0	0
DL	0.00524992	5	2	1	11	1	1	0	19592	28	0	36.3267	 	0	0
UL	0.00529568	5	2	12	11	1	1	0	19592	28	0	36.6512 	0	0
DL	0.00534992	5	3	1	11	1	1	0	19592	28	0	36.5369	 	0	5.43726e-09
UL	0.00539568	5	3	12	11	1	1	0	19592	28	0	36.6143 	0	0
DL	0.00544992	5	4	1	11	1	1	0	19592	28	0	36.6433	 	0	0
UL	0.00549568	5	4	12	11	1	1	0	19592	28	0	36.4653 	0	0
DL	0.00554992	5	5	1	11	1	1	0	19592	28	0	36.6352	 	0	0
UL	0.00559568	5	5	12	11	1	1	0	19592	28	0	36.2215 	0	0
DL	0.00564992	5	6	1	11	1	1	0	19592	28	0	36.5177	 	0	0
UL	0.00569568	5	6	12	11	1	1	0	19592	28	0	35.9187 	0	0
DL	0.00574992	5	7	1	11	1	1	0	19592	28	0	36.3113	 	0	0
UL	0.00579568	5	7	12	11	1	1	0	19592	28	0	35.6121 	0	1.15463e-14
DL	0.00584992	5	8	1	11	1	1	0	19592	28	0	36.0528	 	0	0
UL	0.00589568	5	8	12	11	1	1	0	19592	28	0	35.37 	0	0
DL	0.00594992	5	9	1	11	1	1	0	19592	28	0	35.7935	 	0	0
UL	0.00599568	5	9	12	11	1	1	0	19592	28	0	35.2564 	0	7.33191e-13
DL	0.00604992	6	0	1	11	1	1	0	19592	28	0	35.592	 	0	0
UL	0.00609568	6	0	12	11	1	1	0	19592	28	0	35.3045 	0	5.77316e-15
DL	0.00614992	6	1	1	11	1	1	0	19592	28	0	35.4973	 	0	0
UL	0.00619568	6	1	12	11	1	1	0	19592	28	0	35.4996 	0	5.4845e-14
DL	0.00624992	6	2	1	11	1	1	0	19592	28	0	35.5292	 	0	4.32987e-14
UL	0.00629568	6	2	12	11	1	1	0	19592	28	0	35.7877 	0	0
DL	0.00634992	6	3	1	11	1	1	0	19592	28	0	35.6686	 	0	8.65974e-15
UL	0.00639568	6	3	12	11	1	1	0	19592	28	0	36.1002 	0	0
DL	0.00644992	6	4	1	11	1	1	0	19592	28	0	35.8669	 	0	0
UL	0.00649568	6	4	12	11	1	1	0	19592	28	0	36.3772 	0	0
DL	0.00654992	6	5	1	11	1	1	0	19592	28	0	36.0651	 	0	2.33813e-13
UL	0.00659568	6	5	12	11	1	1	0	19592	28	0	36.5774 	0	2.04947e-13
DL	0.00664992	6	6	1	11	1	1	0	19592	28	0	36.2111	 	0	6.87872e-12
UL	0.00669568	6	6	12	11	1	1	0	19592	28	0	36.6792 	0	0
DL	0.00674992	6	7	1	11	1	1	0	19592	28	0	36.268	 	0	0
UL	0.00679568	6	7	12	11	1	1	0	19592	28	0	36.6791 	0	0
DL	0.00684992	6	8	1	11	1	1	0	19592	28	0	36.2157	 	0	0
UL	0.00689568	6	8	12	11	1	1	0	19592	28	0	36.5898 	0	0
DL	0.00694992	6	9	1	11	1	1	0	19592	28	0	36.051	 	0	2.76944e-10
UL	0.00699568	6	9	12	11	1	1	0	19592	28	0	36.4398 	0	0
DL	0.00704992	7	0	1	11	1	1	0	19592	28	0	35.789	 	0	0
UL	0.00709568	7	0	12	11	1	1	0	19592	28	0	36.271 	0	0
DL	0.00714992	7	1	1	11	1	1	0	19592	28	0	35.4656	 	0	0
UL	0.00719568	7	1	12	11	1	1	0	19592	28	0	36.134 	0	1.46234e-11
DL	0.00724992	7	2	1	11	1	1	0	19592	28	0	35.1387	 	0	0
UL	0.00729568	7	2	12	11	1	1	0	19592	28	0	36.0758 	0	0
DL	0.00734992	7	3	1	11	1	1	0	19592	28	0	34.8829	 	0	0
UL	0.00739568	7	3	12	11	1	1	0	19592	28	0	36.123 	0	0
DL	0.00744992	7	4	1	11	1	1	0	19592	28	0	34.7692	 	0	0
UL	0.00749568	7	4	12	11	1	1	0	19592	28	0	36.2709 	0	0
DL	0.00754992	7	5	1	11	1	1	0	19592	28	0	34.8341	 	0	0
UL	0.00759568	7	5	12	11	1	1	0	19592	28	0	36.4853 	0	0
DL	0.00764992	7	6	1	11	1	1	0	19592	28	0	35.0594	 	0	0
UL	0.00769568	7	6	12	11	1	1	0	19592	28	0	36.7169 	0	1.35842e-11
DL	0.00774992	7	7	1	11	1	1	0	19592	28	0	35.3824	 	0	0
UL	0.00779568	7	7	12	11	1	1	0	19592	28	0	36.9163 	0	0
DL	0.00784992	7	8	1	11	1	1	0	19592	28	0	35.7256	 	0	0
UL	0.00789568	7	8	12	11	1	1	0	19592	28	0	37.0444 	0	0
DL	0.00794992	7	9	1	11	1	1	0	19592	28	0	36.0227	 	0	0
UL	0.00799568	7	9	12	11	1	1	0	19592	28	0	37.0756 	0	0
DL	0.00804992	8	0	1	11	1	1	0	19592	28	0	36.228	 	0	2.04947e-13
UL	0.00809568	8	0	12	11	1	1	0	19592	28	0	36.9988 	0	0
DL	0.00814992	8	1	1	11	1	1	0	19592	28	0	36.3168	 	0	0
UL	0.00819568	8	1	12	11	1	1	0	19592	28	0	36.8168 	0	1.73195e-13
DL	0.00824992	8	2	1	11	1	1	0	19592	28	0	36.2824	 	0	0
UL	0.00829568	8	2	12	11	1	1	0	19592	28	0	36.5479 	0	0
DL	0.00834992	8	3	1	11	1	1	0	19592	28	0	36.1343	 	0	0
UL	0.00839568	8	3	12	11	1	1	0	19592	28	0	36.2275 	0	8.65974e-15
DL	0.00844992	8	4	1	11	1	1	0	19592	28	0	35.8985	 	0	4.52038e-12
UL	0.00849568	8	4	12	11	1	1	0	19592	28	0	35.9087 	0	0
DL	0.00854992	8	5	1	11	1	1	0	19592	28	0	35.619	 	0	0
UL	0.00859568	8	5	12	11	1	1	0	19592	28	0	35.6556 	0	3.96616e-12
DL	0.00864992	8	6	1	11	1	1	0	19592	28	0	35.3556	 	0	0
UL	0.00869568	8	6	12	11	1	1	0	19592	28	0	35.5258 	0	0
DL	0.00874992	8	7	1	11	1	1	0	19592	28	0	35.1733	 	0	0
UL	0.00879568	8	7	12	11	1	1	0	19592	28	0	35.5466 	0	2.88658e-14
DL	0.00884992	8	8	1	11	1	1	0	19592	28	0	35.1215	 	0	0
